model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration
CrossAttentionModelTFG;SEPSIS;4;no-mask;29,119325742764236;25,973647920578873;0,7032826011278731;0,7993565900663421;TAA
CrossAttentionModelTFG;SEPSIS;4;no-mask;18,984479886298626;24,961696178801937;0,4561118200933223;0,5747702657293877;ATT
CrossAttentionModelTFG;SEPSIS;4;no-mask;21,42317900450723;25,56049482686532;0,4636151475630351;0,602639629611318;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;62,08256766354382;87,11704894871387;0,2767552141246017;0,4461224733322141;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;59,779120712458464;87,9840807868439;0,2939580272062865;0,4527782314878204;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;148,3673838402268;88,10410781045562;1,0291602184410789;0,8808534571326422;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;58,03810408908785;92,27880150931222;0,2968040126990883;0,4385896500510474;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;57,585836711384005;105,4322236651466;0,43418047028061707;0,4567752498401595;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;73,83386195387159;107,34858038766043;0,5055751801568217;0,5343852238308283;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;56,021455601394614;94,60323307400658;0,3378971293086276;0,47031852131976537;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;54,89325445667086;96,17611909593855;0,3298739708491016;0,45873252993888713;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;52,32599152470489;98,41188369024367;0,3524137313600123;0,4548891376605907;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;87,67151916240488;99,8033478119794;0,5384346022430049;0,6607743124170935;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;85,91879618555282;95,07778951233509;0,5572329257055412;0,6582571642770284;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;93,34477870830591;103,5127026240031;0,507450950531335;0,6561763536264422;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;43,98869934280714;83,51409735282262;0,23203759088770093;0,35228168538517574;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;49,3183853964914;79,91643539071083;0,2615631947689425;0,41176197377781415;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;53,52303842667377;84,27025433381398;0,2559053892472576;0,4070766716758071;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;26,04658914546653;10,635775648992816;1,2843334566541542;0,9810502932361852;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;27,01528606509125;10,64808914342742;1,393514742561792;1,0335658425964602;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;28,746144929653124;10,870238726402258;1,386183520285116;1,0618712864557314;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;9,072333368123482;9,265578843761423;0,27272792567205645;0,44291840710588826;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;11,075634428081843;9,678519056762397;0,405933565750515;0,5275440873842621;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;14,325315840139373;9,29716611294773;0,3710184359576967;0,583020663385458;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;2;no-mask;15,8762289751256;9,765121589269352;0,5076975592446271;0,6129406382936015;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;2;no-mask;11,225694244543515;9,756665557523899;0,2817310515177763;0,45348667820471844;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;2;no-mask;22,536782655361133;9,682548642158508;0,7397107418157319;0,7464718477266583;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;3;no-mask;19,326214521994224;12,43200999833012;2,0249908311045597;1,2778821698117095;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;3;no-mask;17,498717674536564;12,178525332235179;1,9934457052169234;1,2359469322135477;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;3;no-mask;21,39401120012818;12,770014629525653;2,2291265531646327;1,3557591076960607;TAT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;4;no-mask;37,891276216175186;11,056946311904266;4,980986073800923;1,743488129998029;TAA
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;4;no-mask;43,11106714662895;11,965490963079233;6,1740216876821234;1,933439310294709;ATT
CrossAttentionModelTFG;BPI_Challenge_2013_incidents;4;no-mask;35,210883130267554;10,957326764158443;4,964426995961001;1,6867007824800129;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,954060271031234;5,349886292661866;0,42673516135805656;0,502817943898378;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,900583093174336;5,331042792620007;0,4284082936616463;0,501485899960694;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,9143162192714525;5,3013518392975545;0,4827987344682812;0,5414348795609504;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,8813566172133194;5,3241343260586325;0,522192726944399;0,5459883665891005;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,9063131106006934;5,385537170769721;0,5098901425541913;0,5427707262407208;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;4,181571910274784;5,543392901043463;0,532263805153962;0,5699991092196891;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,991708688776238;5,468090634789042;0,4771431028184577;0,5251908279283599;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;4,316749793800973;5,916807467055884;0,5552627264906156;0,5666758124413799;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;4,051573759540085;5,405791483123243;0,49522830459598843;0,5478803746374253;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,68786401873265;5,21968887866978;0,4263684565017074;0,488003002726156;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,864029428816184;5,279918382543443;0,43573856744580913;0,5117808053728804;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,9871043643311834;5,4368715806654295;0,4653298714859305;0,5297084499537593;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,7659301751080805;5,298351447816291;0,4466883787299399;0,4986935472471274;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;8,950004153874993;12,562996189828315;1711,5392928463805;17,79614351556104;ATT
